"partido","Dim1_log","Dim2_log"
"AGIR",-0.0161416680430813,0.882664268621653
"AVANTE",0.0482540141593423,-0.0199280748820379
"CIDADANIA",-0.154631904624069,0.128485612925707
"DC",0.183683461231303,1.07751082251682
"MDB",-0.0869403868215172,-0.176702273456683
"MOBILIZA",0.0836061058192322,0.645243699455275
"NOVO",-0.409494025027105,1.23459868789432
"PC do B",0.954203474904813,-1.34680380433156
"PCB",1.38734932651262,-2.5330346228393
"PCO",4.86414005446907,4.29116666126891
"PDT",0.365898945433534,-0.724407496845665
"PL",-0.273170245635782,0.433853225936242
"PMB",0.103678231390314,1.11745102331027
"PODE",-0.149890464942054,0.410147774245545
"PP",-0.110730057107518,-0.14191602417308
"PRD",-0.194642374956148,0.437198612449048
"PRTB",-0.304124626280145,1.17493637019599
"PSB",0.212149259140185,-0.704776817293006
"PSD",-0.0925225469152977,-0.121509967828274
"PSDB",-0.258634491072866,0.263482674523967
"PSOL",1.95038080136291,-1.83486373034567
"PSTU",4.5232651624527,3.65282119417721
"PT",0.768086636235104,-1.26954523935172
"PV",0.2894241684479,-0.0426623232607801
"REDE",0.76327596513653,-1.08370120055717
"REPUBLICANOS",-0.162062163140712,0.243252287787171
"SOLIDARIEDADE",-0.0410993235622893,0.131690932663107
"UNIÃO",-0.233254048934198,0.363320544665358
"UP",0.678840260821803,-1.90015282263991
