"id_objetosPossiveis","uri_objetosPossiveis","siglaTipo_objetosPossiveis","codTipo_objetosPossiveis","numero_objetosPossiveis","ano_objetosPossiveis","ementa_objetosPossiveis","id_proposicoesAfetadas","uri_proposicoesAfetadas","siglaTipo_proposicoesAfetadas","codTipo_proposicoesAfetadas","numero_proposicoesAfetadas","ano_proposicoesAfetadas","ementa_proposicoesAfetadas","id_votacao"
2388050,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2388050","SBT",255,1,0,"",2387067,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2387067","PLP",140,192,2023,"Altera a Lei Complementar nº 64, de 18 de maio de 1990.
  NOVA EMENTA: Altera a Lei Complementar nº 64, de 18 de maio de 1990, e a Lei nº 9.504, de 30 de setembro de 1997 (Lei das Eleições).","2387067-33"
2388049,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2388049","PRLE",1001,1,0,"Altera a Lei Complementar nº 64, de 18 de maio de 1990.",2387067,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2387067","PLP",140,192,2023,"Altera a Lei Complementar nº 64, de 18 de maio de 1990.
  NOVA EMENTA: Altera a Lei Complementar nº 64, de 18 de maio de 1990, e a Lei nº 9.504, de 30 de setembro de 1997 (Lei das Eleições).","2387067-33"
2388046,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2388046","RPDR",889,9,0,"Requerimento Procedimental Genérico - PLP 192/2023",2387067,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2387067","PLP",140,192,2023,"Altera a Lei Complementar nº 64, de 18 de maio de 1990.
  NOVA EMENTA: Altera a Lei Complementar nº 64, de 18 de maio de 1990, e a Lei nº 9.504, de 30 de setembro de 1997 (Lei das Eleições).","2387067-33"
2388028,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2388028","EMP",870,14,0,"EMENDA DE PLENÁRIO AO PLP 192/23",2387067,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2387067","PLP",140,192,2023,"Altera a Lei Complementar nº 64, de 18 de maio de 1990.
  NOVA EMENTA: Altera a Lei Complementar nº 64, de 18 de maio de 1990, e a Lei nº 9.504, de 30 de setembro de 1997 (Lei das Eleições).","2387067-33"
2387968,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2387968","RPDR",889,8,0,"Requerimento Procedimental Genérico",2387067,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2387067","PLP",140,192,2023,"Altera a Lei Complementar nº 64, de 18 de maio de 1990.
  NOVA EMENTA: Altera a Lei Complementar nº 64, de 18 de maio de 1990, e a Lei nº 9.504, de 30 de setembro de 1997 (Lei das Eleições).","2387067-33"
2387961,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2387961","DTQ",1011,6,0,"Destaque de Emenda - PLP 192/2023",2387067,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2387067","PLP",140,192,2023,"Altera a Lei Complementar nº 64, de 18 de maio de 1990.
  NOVA EMENTA: Altera a Lei Complementar nº 64, de 18 de maio de 1990, e a Lei nº 9.504, de 30 de setembro de 1997 (Lei das Eleições).","2387067-33"
2387963,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2387963","RPD",332,7,0,"Requerimento de Votação Nominal-Destaque de Emenda - PLP 192/2023",2387067,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2387067","PLP",140,192,2023,"Altera a Lei Complementar nº 64, de 18 de maio de 1990.
  NOVA EMENTA: Altera a Lei Complementar nº 64, de 18 de maio de 1990, e a Lei nº 9.504, de 30 de setembro de 1997 (Lei das Eleições).","2387067-33"
2387953,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2387953","EMP",870,13,0,"Altera a Lei Complementar nº 64, de 18 de maio de 1990.",2387067,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2387067","PLP",140,192,2023,"Altera a Lei Complementar nº 64, de 18 de maio de 1990.
  NOVA EMENTA: Altera a Lei Complementar nº 64, de 18 de maio de 1990, e a Lei nº 9.504, de 30 de setembro de 1997 (Lei das Eleições).","2387067-33"
2387941,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2387941","EMP",870,12,0,"Altera a Lei Complementar nº 64, de 18 de maio de 1990.",2387067,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2387067","PLP",140,192,2023,"Altera a Lei Complementar nº 64, de 18 de maio de 1990.
  NOVA EMENTA: Altera a Lei Complementar nº 64, de 18 de maio de 1990, e a Lei nº 9.504, de 30 de setembro de 1997 (Lei das Eleições).","2387067-33"
2387918,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2387918","RPD",328,5,0,"Requerimento de Retirada de Matéria da Pauta - PLP 192/2023",2387067,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2387067","PLP",140,192,2023,"Altera a Lei Complementar nº 64, de 18 de maio de 1990.
  NOVA EMENTA: Altera a Lei Complementar nº 64, de 18 de maio de 1990, e a Lei nº 9.504, de 30 de setembro de 1997 (Lei das Eleições).","2387067-33"
2387919,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2387919","RPD",332,6,0,"Requerimento de Votação Nominal-Requerimento de Retirada de Matéria da Pauta - PLP 192/2023",2387067,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2387067","PLP",140,192,2023,"Altera a Lei Complementar nº 64, de 18 de maio de 1990.
  NOVA EMENTA: Altera a Lei Complementar nº 64, de 18 de maio de 1990, e a Lei nº 9.504, de 30 de setembro de 1997 (Lei das Eleições).","2387067-33"
2387860,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2387860","RPDR",889,4,0,"Requerimento Procedimental Genérico - PLP 192/2023",2387067,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2387067","PLP",140,192,2023,"Altera a Lei Complementar nº 64, de 18 de maio de 1990.
  NOVA EMENTA: Altera a Lei Complementar nº 64, de 18 de maio de 1990, e a Lei nº 9.504, de 30 de setembro de 1997 (Lei das Eleições).","2387067-33"
2387857,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2387857","DTQ",1011,5,0,"Destaque de Emenda - PLP 192/2023",2387067,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2387067","PLP",140,192,2023,"Altera a Lei Complementar nº 64, de 18 de maio de 1990.
  NOVA EMENTA: Altera a Lei Complementar nº 64, de 18 de maio de 1990, e a Lei nº 9.504, de 30 de setembro de 1997 (Lei das Eleições).","2387067-33"
2388048,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2388048","PPP",192,1,0,"Parecer proferido em Plenário pelo Relator, Dep. Rubens Pereira Júnior (PT-MA), pela Comissão de Constituição e Justiça e de Cidadania, que conclui pela constitucionalidade, juridicidade e técnica legislativa; e, no mérito, pela aprovação, na forma do Substitutivo apresentado.",2387067,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2387067","PLP",140,192,2023,"Altera a Lei Complementar nº 64, de 18 de maio de 1990.
  NOVA EMENTA: Altera a Lei Complementar nº 64, de 18 de maio de 1990, e a Lei nº 9.504, de 30 de setembro de 1997 (Lei das Eleições).","2387067-33"
2388051,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2388051","PEP",442,1,0,"Parecer às Emendas de Plenário proferido pelo Relator, Dep. Rubens Pereira Júnior (PT-MA), pela Comissão de Constituição e Justiça e de Cidadania, que conclui pela inconstitucionalidade, injuridicidade e boa técnica da Emenda de Plenário nº 9; pela constitucionalidade, juridicidade e boa técnica legislativa das demais Emendas de Plenário; e, no mérito, pela aprovação do Projeto de Lei Complementar nº 192, de 2023, e das Emendas de Plenário nºs 5, 6, 10 e 13, na forma da Subemenda Substitutiva Global, e pela rejeição das demais Emendas de Plenário.",2387067,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2387067","PLP",140,192,2023,"Altera a Lei Complementar nº 64, de 18 de maio de 1990.
  NOVA EMENTA: Altera a Lei Complementar nº 64, de 18 de maio de 1990, e a Lei nº 9.504, de 30 de setembro de 1997 (Lei das Eleições).","2387067-33"
