"id_objetosPossiveis","uri_objetosPossiveis","siglaTipo_objetosPossiveis","codTipo_objetosPossiveis","numero_objetosPossiveis","ano_objetosPossiveis","ementa_objetosPossiveis","id_proposicoesAfetadas","uri_proposicoesAfetadas","siglaTipo_proposicoesAfetadas","codTipo_proposicoesAfetadas","numero_proposicoesAfetadas","ano_proposicoesAfetadas","ementa_proposicoesAfetadas","id_votacao"
2358266,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2358266","RPDR",889,7,0,"Requerimento Procedimental Genérico - PLP 139/2022",2337246,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2337246","PLP",140,139,2022,"Acrescenta o artigo 8º a Lei Complementar nº 91, de 22 de dezembro de 1997, para conceder prazo para que os Municípios migrem para coeficientes menores de participação no Fundo de Participação dos Municípios (FPM).  NOVA EMENTA: Acrescenta o art. 5º-A à Lei Complementar nº 91, de 22 de dezembro de 1997, para manter os coeficientes do Fundo de Participação dos Municípios (FPM) de Municípios com redução populacional aferida em censo demográfico, aplicado redutor financeiro sobre eventuais ganhos, na forma e no prazo que especifica; e altera a Lei nº 14.133, de 1º de abril de 2021","2337246-43"
2358263,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2358263","PPP",192,1,0,"Parecer proferido em Plenário pelo relator, Dep. Benes Leocádio (União-RN), pela Comissão de Finanças e Tributação, que conclui pela não implicação da matéria com aumento ou diminuição da receita ou da despesa públicas, não cabendo pronunciamento quanto à adequação financeira e orçamentária; e, no mérito, pela aprovação, na forma do Substitutivo.",2337246,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2337246","PLP",140,139,2022,"Acrescenta o artigo 8º a Lei Complementar nº 91, de 22 de dezembro de 1997, para conceder prazo para que os Municípios migrem para coeficientes menores de participação no Fundo de Participação dos Municípios (FPM).  NOVA EMENTA: Acrescenta o art. 5º-A à Lei Complementar nº 91, de 22 de dezembro de 1997, para manter os coeficientes do Fundo de Participação dos Municípios (FPM) de Municípios com redução populacional aferida em censo demográfico, aplicado redutor financeiro sobre eventuais ganhos, na forma e no prazo que especifica; e altera a Lei nº 14.133, de 1º de abril de 2021","2337246-43"
2358264,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2358264","PPP",192,1,0,"Parecer proferido em Plenário pelo relator, Dep. Benes Leocádio (União-RN), pela Comissão de Constituição e Justiça e de Cidadania, que conclui pela constitucionalidade, juridicidade e boa técnica legislativa do Projeto de Lei Complementar n.º 139, de 2022, e do Substitutivo adotado pelo relator da Comissão de Finanças e Tributação.",2337246,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2337246","PLP",140,139,2022,"Acrescenta o artigo 8º a Lei Complementar nº 91, de 22 de dezembro de 1997, para conceder prazo para que os Municípios migrem para coeficientes menores de participação no Fundo de Participação dos Municípios (FPM).  NOVA EMENTA: Acrescenta o art. 5º-A à Lei Complementar nº 91, de 22 de dezembro de 1997, para manter os coeficientes do Fundo de Participação dos Municípios (FPM) de Municípios com redução populacional aferida em censo demográfico, aplicado redutor financeiro sobre eventuais ganhos, na forma e no prazo que especifica; e altera a Lei nº 14.133, de 1º de abril de 2021","2337246-43"
2357957,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2357957","RPD",892,1,0,"Requerimento de Adiamento da Discussão Matéria Urgente - PLP 139/2022",2337246,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2337246","PLP",140,139,2022,"Acrescenta o artigo 8º a Lei Complementar nº 91, de 22 de dezembro de 1997, para conceder prazo para que os Municípios migrem para coeficientes menores de participação no Fundo de Participação dos Municípios (FPM).  NOVA EMENTA: Acrescenta o art. 5º-A à Lei Complementar nº 91, de 22 de dezembro de 1997, para manter os coeficientes do Fundo de Participação dos Municípios (FPM) de Municípios com redução populacional aferida em censo demográfico, aplicado redutor financeiro sobre eventuais ganhos, na forma e no prazo que especifica; e altera a Lei nº 14.133, de 1º de abril de 2021","2337246-43"
2357961,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2357961","RPD",467,2,0,"Requerimento de Adiamento da Votação Matéria Urgente - PLP 139/2022",2337246,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2337246","PLP",140,139,2022,"Acrescenta o artigo 8º a Lei Complementar nº 91, de 22 de dezembro de 1997, para conceder prazo para que os Municípios migrem para coeficientes menores de participação no Fundo de Participação dos Municípios (FPM).  NOVA EMENTA: Acrescenta o art. 5º-A à Lei Complementar nº 91, de 22 de dezembro de 1997, para manter os coeficientes do Fundo de Participação dos Municípios (FPM) de Municípios com redução populacional aferida em censo demográfico, aplicado redutor financeiro sobre eventuais ganhos, na forma e no prazo que especifica; e altera a Lei nº 14.133, de 1º de abril de 2021","2337246-43"
2357965,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2357965","RPD",328,3,0,"Requerimento de Retirada de Matéria da Pauta - PLP 139/2022",2337246,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2337246","PLP",140,139,2022,"Acrescenta o artigo 8º a Lei Complementar nº 91, de 22 de dezembro de 1997, para conceder prazo para que os Municípios migrem para coeficientes menores de participação no Fundo de Participação dos Municípios (FPM).  NOVA EMENTA: Acrescenta o art. 5º-A à Lei Complementar nº 91, de 22 de dezembro de 1997, para manter os coeficientes do Fundo de Participação dos Municípios (FPM) de Municípios com redução populacional aferida em censo demográfico, aplicado redutor financeiro sobre eventuais ganhos, na forma e no prazo que especifica; e altera a Lei nº 14.133, de 1º de abril de 2021","2337246-43"
2357968,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2357968","RPD",332,4,0,"Requerimento de Votação Nominal-Requerimento de Adiamento da Votação Matéria Urgente - PLP 139/2022",2337246,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2337246","PLP",140,139,2022,"Acrescenta o artigo 8º a Lei Complementar nº 91, de 22 de dezembro de 1997, para conceder prazo para que os Municípios migrem para coeficientes menores de participação no Fundo de Participação dos Municípios (FPM).  NOVA EMENTA: Acrescenta o art. 5º-A à Lei Complementar nº 91, de 22 de dezembro de 1997, para manter os coeficientes do Fundo de Participação dos Municípios (FPM) de Municípios com redução populacional aferida em censo demográfico, aplicado redutor financeiro sobre eventuais ganhos, na forma e no prazo que especifica; e altera a Lei nº 14.133, de 1º de abril de 2021","2337246-43"
2357970,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2357970","RPD",332,5,0,"Requerimento de Votação Nominal-Requerimento de Adiamento da Discussão Matéria Urgente - PLP 139/2022",2337246,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2337246","PLP",140,139,2022,"Acrescenta o artigo 8º a Lei Complementar nº 91, de 22 de dezembro de 1997, para conceder prazo para que os Municípios migrem para coeficientes menores de participação no Fundo de Participação dos Municípios (FPM).  NOVA EMENTA: Acrescenta o art. 5º-A à Lei Complementar nº 91, de 22 de dezembro de 1997, para manter os coeficientes do Fundo de Participação dos Municípios (FPM) de Municípios com redução populacional aferida em censo demográfico, aplicado redutor financeiro sobre eventuais ganhos, na forma e no prazo que especifica; e altera a Lei nº 14.133, de 1º de abril de 2021","2337246-43"
2357971,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2357971","RPD",332,6,0,"Requerimento de Votação Nominal-Requerimento de Retirada de Matéria da Pauta - PLP 139/2022",2337246,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2337246","PLP",140,139,2022,"Acrescenta o artigo 8º a Lei Complementar nº 91, de 22 de dezembro de 1997, para conceder prazo para que os Municípios migrem para coeficientes menores de participação no Fundo de Participação dos Municípios (FPM).  NOVA EMENTA: Acrescenta o art. 5º-A à Lei Complementar nº 91, de 22 de dezembro de 1997, para manter os coeficientes do Fundo de Participação dos Municípios (FPM) de Municípios com redução populacional aferida em censo demográfico, aplicado redutor financeiro sobre eventuais ganhos, na forma e no prazo que especifica; e altera a Lei nº 14.133, de 1º de abril de 2021","2337246-43"
2363447,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2363447","RDF",197,1,0,"Acrescenta o art. 5º-A à Lei
Complementar nº 91, de 22 de
dezembro de 1997, para manter os
coeficientes do Fundo de
Participação dos Municípios (FPM)
de Municípios com redução
populacional aferida em censo
demográfico, aplicado redutor
financeiro sobre eventuais ganhos,
na forma e no prazo que especifica;
e altera a Lei nº 14.133, de 1º de
abril de 2021.",2337246,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2337246","PLP",140,139,2022,"Acrescenta o artigo 8º a Lei Complementar nº 91, de 22 de dezembro de 1997, para conceder prazo para que os Municípios migrem para coeficientes menores de participação no Fundo de Participação dos Municípios (FPM).  NOVA EMENTA: Acrescenta o art. 5º-A à Lei Complementar nº 91, de 22 de dezembro de 1997, para manter os coeficientes do Fundo de Participação dos Municípios (FPM) de Municípios com redução populacional aferida em censo demográfico, aplicado redutor financeiro sobre eventuais ganhos, na forma e no prazo que especifica; e altera a Lei nº 14.133, de 1º de abril de 2021","2337246-43"
