"id_proposicoesAfetadas","uri_proposicoesAfetadas","siglaTipo_proposicoesAfetadas","codTipo_proposicoesAfetadas","numero_proposicoesAfetadas","ano_proposicoesAfetadas","ementa_proposicoesAfetadas","id_votacao"
2157806,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2157806","PL",139,8889,2017,"Dispõe sobre a provisão de conteúdo audiovisual por demanda (CAvD) e dá outras providências.","2362947-9"
2362947,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2362947","REQ",392,1589,2023,"Requer, nos termos do art. 155 do Regimento Interno, urgência para votação do Projeto de Lei nº 8889, de 2017, que “Dispõe sobre a provisão de conteúdo audiovisual por demanda (CAvD) e dá outras providências. ”.","2362947-9"
