"id_proposicoesAfetadas","uri_proposicoesAfetadas","siglaTipo_proposicoesAfetadas","codTipo_proposicoesAfetadas","numero_proposicoesAfetadas","ano_proposicoesAfetadas","ementa_proposicoesAfetadas","id_votacao"
2312373,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2312373","PL",139,4416,2021,"Altera a Medida Provisória nº 2.199-14, de 24 de agosto de 2001, para fixar novo prazo para a aprovação de projetos beneficiados com incentivos fiscais de redução e reinvestimento do imposto sobre a renda e adicionais nas áreas de atuação da Superintendência do Desenvolvimento do Nordeste (Sudene) e da Superintendência do Desenvolvimento da Amazônia (Sudam).","2390639-8"
2390639,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2390639","REQ",392,3307,2023,"Requer urgência para apreciação do Projeto de Lei nº. 4.416/2021 que prorroga os incentivos de IRPJ e reinvestimentos nas áreas da SUDAM, SUDENE e SUDECO.","2390639-8"
