"id_objetosPossiveis","uri_objetosPossiveis","siglaTipo_objetosPossiveis","codTipo_objetosPossiveis","numero_objetosPossiveis","ano_objetosPossiveis","ementa_objetosPossiveis","id_proposicoesAfetadas","uri_proposicoesAfetadas","siglaTipo_proposicoesAfetadas","codTipo_proposicoesAfetadas","numero_proposicoesAfetadas","ano_proposicoesAfetadas","ementa_proposicoesAfetadas","id_votacao"
2376576,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2376576","PPP",192,1,0,"Parecer proferido em Plenário pelo Relator, Dep. Hugo Motta (REPUBLIC-PB), pela Comissão de Constituição e Justiça e de Cidadania, que conclui pela constitucionalidade, juridicidade e técnica legislativa, na forma do Substitutivo da Comissão de Finanças e Tributação.",2205254,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2205254","PLP",140,143,2019,"Determina que os recursos destinados ao Instituto Nacional de Propriedade Intelectual não serão objeto de limitação de despesa.  NOVA EMENTA: Altera a Lei Complementar nº 101, de 4 de maio de 2000 (Lei de Responsabilidade Fiscal), para vedar a limitação de empenho e movimentação financeira das despesas relativas ao Instituto Nacional de Propriedade Industrial (INPI).","2205254-76"
2383004,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2383004","RDF",197,1,0,"Altera a Lei Complementar nº 101, de 4 de maio de 2000 (Lei de Responsabilidade Fiscal), para vedar a limitação de empenho e movimentação financeira das despesas relativas ao Instituto Nacional de Propriedade Industrial (INPI).",2205254,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2205254","PLP",140,143,2019,"Determina que os recursos destinados ao Instituto Nacional de Propriedade Intelectual não serão objeto de limitação de despesa.  NOVA EMENTA: Altera a Lei Complementar nº 101, de 4 de maio de 2000 (Lei de Responsabilidade Fiscal), para vedar a limitação de empenho e movimentação financeira das despesas relativas ao Instituto Nacional de Propriedade Industrial (INPI).","2205254-76"
2375815,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2375815","PRLP",891,1,0,"PARECER PRELIMINAR DE PLENÁRIO PLP 143/19",2205254,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2205254","PLP",140,143,2019,"Determina que os recursos destinados ao Instituto Nacional de Propriedade Intelectual não serão objeto de limitação de despesa.  NOVA EMENTA: Altera a Lei Complementar nº 101, de 4 de maio de 2000 (Lei de Responsabilidade Fiscal), para vedar a limitação de empenho e movimentação financeira das despesas relativas ao Instituto Nacional de Propriedade Industrial (INPI).","2205254-76"
2355731,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2355731","REQ",392,1141,2023,"Requerimento de Urgência Art. 155 - PLP 143/2019",2205254,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2205254","PLP",140,143,2019,"Determina que os recursos destinados ao Instituto Nacional de Propriedade Intelectual não serão objeto de limitação de despesa.  NOVA EMENTA: Altera a Lei Complementar nº 101, de 4 de maio de 2000 (Lei de Responsabilidade Fiscal), para vedar a limitação de empenho e movimentação financeira das despesas relativas ao Instituto Nacional de Propriedade Industrial (INPI).","2205254-76"
