"id_proposicoesAfetadas","uri_proposicoesAfetadas","siglaTipo_proposicoesAfetadas","codTipo_proposicoesAfetadas","numero_proposicoesAfetadas","ano_proposicoesAfetadas","ementa_proposicoesAfetadas","id_votacao"
2437265,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2437265","PL",139,2130,2024,"Institui a região turística Mar de Minas, nos termos que especifica, como Área Especial de Interesse Turístico.","2444417-7"
2444417,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2444417","REQ",392,2444,2024,"Requer, nos termos do artigo 155 do Regimento Interno, tramitação sob o regime urgência do Projeto de Lei nº 2.130 de 2024.","2444417-7"
