"id_proposicoesAfetadas","uri_proposicoesAfetadas","siglaTipo_proposicoesAfetadas","codTipo_proposicoesAfetadas","numero_proposicoesAfetadas","ano_proposicoesAfetadas","ementa_proposicoesAfetadas","id_votacao"
2374032,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2374032","PL",139,3557,2023,"Dispõe sobre a criação do espaço do ciclista, nas dependências das empresas, com infraestrutura física e operacional de apoio ao trabalhador que utiliza bicicleta como meio de transporte ao trabalho.","2393997-9"
2393997,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2393997","REQ",392,3412,2023,"Requer, nos termos do art. 155 do Regimento Interno da Câmara dos Deputados, tramitação sob regime de urgência do Projeto de Lei 3.557/2023.","2393997-9"
