"id_objetosPossiveis","uri_objetosPossiveis","siglaTipo_objetosPossiveis","codTipo_objetosPossiveis","numero_objetosPossiveis","ano_objetosPossiveis","ementa_objetosPossiveis","id_proposicoesAfetadas","uri_proposicoesAfetadas","siglaTipo_proposicoesAfetadas","codTipo_proposicoesAfetadas","numero_proposicoesAfetadas","ano_proposicoesAfetadas","ementa_proposicoesAfetadas","id_votacao"
2414327,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2414327","DTQ",1012,13,0,"Destaque de Preferência - PEC 45/2019 (Fase 2 - CD) Turno 1",259094,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/259094","PEC",136,293,2004,"Altera o Sistema Tributário Nacional e dá outras providências.  (Desmembramento da PEC nº 255/04, devendo os arts. 3º, 8º e 9º, serem renumerados para 3º, 4º e 5º; e os arts. 146, IV, 150, VI e, 153, § 4º, IV, 158, parágrafo único, I, II, 171-A e parágrafo único, 203, parágrafo único e 216, § 3º, constantes do art. 1º, e os arts., 4º, 5º, 7º, renumerados para 2º, 3º e 4º).","259094-121"
2414321,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2414321","DTQ",846,12,0,"Destaque para Votação em Separado - PEC 45/2019 (Fase 2 - CD) Turno 1",259094,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/259094","PEC",136,293,2004,"Altera o Sistema Tributário Nacional e dá outras providências.  (Desmembramento da PEC nº 255/04, devendo os arts. 3º, 8º e 9º, serem renumerados para 3º, 4º e 5º; e os arts. 146, IV, 150, VI e, 153, § 4º, IV, 158, parágrafo único, I, II, 171-A e parágrafo único, 203, parágrafo único e 216, § 3º, constantes do art. 1º, e os arts., 4º, 5º, 7º, renumerados para 2º, 3º e 4º).","259094-121"
2414315,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2414315","DTQ",846,11,0,"Destaque para Votação em Separado - PEC 293/2004 Turno 1",259094,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/259094","PEC",136,293,2004,"Altera o Sistema Tributário Nacional e dá outras providências.  (Desmembramento da PEC nº 255/04, devendo os arts. 3º, 8º e 9º, serem renumerados para 3º, 4º e 5º; e os arts. 146, IV, 150, VI e, 153, § 4º, IV, 158, parágrafo único, I, II, 171-A e parágrafo único, 203, parágrafo único e 216, § 3º, constantes do art. 1º, e os arts., 4º, 5º, 7º, renumerados para 2º, 3º e 4º).","259094-121"
2414309,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2414309","DTQ",846,10,0,"Destaque para Votação em Separado - PEC 293/2004 Turno 1",259094,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/259094","PEC",136,293,2004,"Altera o Sistema Tributário Nacional e dá outras providências.  (Desmembramento da PEC nº 255/04, devendo os arts. 3º, 8º e 9º, serem renumerados para 3º, 4º e 5º; e os arts. 146, IV, 150, VI e, 153, § 4º, IV, 158, parágrafo único, I, II, 171-A e parágrafo único, 203, parágrafo único e 216, § 3º, constantes do art. 1º, e os arts., 4º, 5º, 7º, renumerados para 2º, 3º e 4º).","259094-121"
2414308,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2414308","DTQ",846,9,0,"Destaque para Votação em Separado - PEC 293/2004 Turno 1",259094,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/259094","PEC",136,293,2004,"Altera o Sistema Tributário Nacional e dá outras providências.  (Desmembramento da PEC nº 255/04, devendo os arts. 3º, 8º e 9º, serem renumerados para 3º, 4º e 5º; e os arts. 146, IV, 150, VI e, 153, § 4º, IV, 158, parágrafo único, I, II, 171-A e parágrafo único, 203, parágrafo único e 216, § 3º, constantes do art. 1º, e os arts., 4º, 5º, 7º, renumerados para 2º, 3º e 4º).","259094-121"
2414297,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2414297","DTQ",846,8,0,"Destaque para Votação em Separado - PEC 45/2019 (Fase 2 - CD) Turno 1",259094,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/259094","PEC",136,293,2004,"Altera o Sistema Tributário Nacional e dá outras providências.  (Desmembramento da PEC nº 255/04, devendo os arts. 3º, 8º e 9º, serem renumerados para 3º, 4º e 5º; e os arts. 146, IV, 150, VI e, 153, § 4º, IV, 158, parágrafo único, I, II, 171-A e parágrafo único, 203, parágrafo único e 216, § 3º, constantes do art. 1º, e os arts., 4º, 5º, 7º, renumerados para 2º, 3º e 4º).","259094-121"
2414292,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2414292","RPDR",889,6,0,"Requerimento Procedimental Genérico - PEC 45/2019 (Fase 2 - CD)",259094,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/259094","PEC",136,293,2004,"Altera o Sistema Tributário Nacional e dá outras providências.  (Desmembramento da PEC nº 255/04, devendo os arts. 3º, 8º e 9º, serem renumerados para 3º, 4º e 5º; e os arts. 146, IV, 150, VI e, 153, § 4º, IV, 158, parágrafo único, I, II, 171-A e parágrafo único, 203, parágrafo único e 216, § 3º, constantes do art. 1º, e os arts., 4º, 5º, 7º, renumerados para 2º, 3º e 4º).","259094-121"
2414217,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2414217","RPD",328,4,0,"Requerimento de Retirada de Matéria da Pauta - PEC 45/2019 (Fase 2 - CD) Turno 2",259094,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/259094","PEC",136,293,2004,"Altera o Sistema Tributário Nacional e dá outras providências.  (Desmembramento da PEC nº 255/04, devendo os arts. 3º, 8º e 9º, serem renumerados para 3º, 4º e 5º; e os arts. 146, IV, 150, VI e, 153, § 4º, IV, 158, parágrafo único, I, II, 171-A e parágrafo único, 203, parágrafo único e 216, § 3º, constantes do art. 1º, e os arts., 4º, 5º, 7º, renumerados para 2º, 3º e 4º).","259094-121"
2414222,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2414222","RPD",332,5,0,"Requerimento de Votação Nominal-Requerimento de Retirada de Matéria da Pauta - PEC 45/2019 (Fase 2 - CD) Turno 2 Turno 2",259094,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/259094","PEC",136,293,2004,"Altera o Sistema Tributário Nacional e dá outras providências.  (Desmembramento da PEC nº 255/04, devendo os arts. 3º, 8º e 9º, serem renumerados para 3º, 4º e 5º; e os arts. 146, IV, 150, VI e, 153, § 4º, IV, 158, parágrafo único, I, II, 171-A e parágrafo único, 203, parágrafo único e 216, § 3º, constantes do art. 1º, e os arts., 4º, 5º, 7º, renumerados para 2º, 3º e 4º).","259094-121"
2414187,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2414187","DTQ",846,7,0,"Destaque para Votação em Separado - PEC 293/2004 Turno 1",259094,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/259094","PEC",136,293,2004,"Altera o Sistema Tributário Nacional e dá outras providências.  (Desmembramento da PEC nº 255/04, devendo os arts. 3º, 8º e 9º, serem renumerados para 3º, 4º e 5º; e os arts. 146, IV, 150, VI e, 153, § 4º, IV, 158, parágrafo único, I, II, 171-A e parágrafo único, 203, parágrafo único e 216, § 3º, constantes do art. 1º, e os arts., 4º, 5º, 7º, renumerados para 2º, 3º e 4º).","259094-121"
