"id_objetosPossiveis","uri_objetosPossiveis","siglaTipo_objetosPossiveis","codTipo_objetosPossiveis","numero_objetosPossiveis","ano_objetosPossiveis","ementa_objetosPossiveis","id_proposicoesAfetadas","uri_proposicoesAfetadas","siglaTipo_proposicoesAfetadas","codTipo_proposicoesAfetadas","numero_proposicoesAfetadas","ano_proposicoesAfetadas","ementa_proposicoesAfetadas","id_votacao"
2414442,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2414442","RPD",890,15,0,"Requerimento Procedimental Genérico - PEC 45/2019 (Fase 2 - CD)",259094,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/259094","PEC",136,293,2004,"Altera o Sistema Tributário Nacional e dá outras providências.  (Desmembramento da PEC nº 255/04, devendo os arts. 3º, 8º e 9º, serem renumerados para 3º, 4º e 5º; e os arts. 146, IV, 150, VI e, 153, § 4º, IV, 158, parágrafo único, I, II, 171-A e parágrafo único, 203, parágrafo único e 216, § 3º, constantes do art. 1º, e os arts., 4º, 5º, 7º, renumerados para 2º, 3º e 4º).","259094-140"
2414425,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2414425","DTQ",846,24,0,"Destaque para Votação em Separado - PEC 293/2004 Turno 1",259094,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/259094","PEC",136,293,2004,"Altera o Sistema Tributário Nacional e dá outras providências.  (Desmembramento da PEC nº 255/04, devendo os arts. 3º, 8º e 9º, serem renumerados para 3º, 4º e 5º; e os arts. 146, IV, 150, VI e, 153, § 4º, IV, 158, parágrafo único, I, II, 171-A e parágrafo único, 203, parágrafo único e 216, § 3º, constantes do art. 1º, e os arts., 4º, 5º, 7º, renumerados para 2º, 3º e 4º).","259094-140"
2414424,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2414424","RPDR",889,14,0,"Requerimento Procedimental Genérico - PEC 293/2004",259094,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/259094","PEC",136,293,2004,"Altera o Sistema Tributário Nacional e dá outras providências.  (Desmembramento da PEC nº 255/04, devendo os arts. 3º, 8º e 9º, serem renumerados para 3º, 4º e 5º; e os arts. 146, IV, 150, VI e, 153, § 4º, IV, 158, parágrafo único, I, II, 171-A e parágrafo único, 203, parágrafo único e 216, § 3º, constantes do art. 1º, e os arts., 4º, 5º, 7º, renumerados para 2º, 3º e 4º).","259094-140"
2414423,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2414423","DTQ",846,23,0,"Destaque para Votação em Separado - PEC 293/2004 Turno 1",259094,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/259094","PEC",136,293,2004,"Altera o Sistema Tributário Nacional e dá outras providências.  (Desmembramento da PEC nº 255/04, devendo os arts. 3º, 8º e 9º, serem renumerados para 3º, 4º e 5º; e os arts. 146, IV, 150, VI e, 153, § 4º, IV, 158, parágrafo único, I, II, 171-A e parágrafo único, 203, parágrafo único e 216, § 3º, constantes do art. 1º, e os arts., 4º, 5º, 7º, renumerados para 2º, 3º e 4º).","259094-140"
2414411,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2414411","RPDR",889,13,0,"Requerimento Procedimental Genérico - PEC 293/2004",259094,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/259094","PEC",136,293,2004,"Altera o Sistema Tributário Nacional e dá outras providências.  (Desmembramento da PEC nº 255/04, devendo os arts. 3º, 8º e 9º, serem renumerados para 3º, 4º e 5º; e os arts. 146, IV, 150, VI e, 153, § 4º, IV, 158, parágrafo único, I, II, 171-A e parágrafo único, 203, parágrafo único e 216, § 3º, constantes do art. 1º, e os arts., 4º, 5º, 7º, renumerados para 2º, 3º e 4º).","259094-140"
2414384,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2414384","DTQ",846,22,0,"Destaque para Votação em Separado - PEC 293/2004 Turno 1",259094,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/259094","PEC",136,293,2004,"Altera o Sistema Tributário Nacional e dá outras providências.  (Desmembramento da PEC nº 255/04, devendo os arts. 3º, 8º e 9º, serem renumerados para 3º, 4º e 5º; e os arts. 146, IV, 150, VI e, 153, § 4º, IV, 158, parágrafo único, I, II, 171-A e parágrafo único, 203, parágrafo único e 216, § 3º, constantes do art. 1º, e os arts., 4º, 5º, 7º, renumerados para 2º, 3º e 4º).","259094-140"
2414379,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2414379","RPD",331,12,0,"Requerimento de Encerramento da Discussão e do Encaminhamento da Votação - PEC 293/2004 Turno 1",259094,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/259094","PEC",136,293,2004,"Altera o Sistema Tributário Nacional e dá outras providências.  (Desmembramento da PEC nº 255/04, devendo os arts. 3º, 8º e 9º, serem renumerados para 3º, 4º e 5º; e os arts. 146, IV, 150, VI e, 153, § 4º, IV, 158, parágrafo único, I, II, 171-A e parágrafo único, 203, parágrafo único e 216, § 3º, constantes do art. 1º, e os arts., 4º, 5º, 7º, renumerados para 2º, 3º e 4º).","259094-140"
2414378,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2414378","DTQ",846,21,0,"Destaque para Votação em Separado - PEC 45/2019 (Fase 2 - CD) Turno 1",259094,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/259094","PEC",136,293,2004,"Altera o Sistema Tributário Nacional e dá outras providências.  (Desmembramento da PEC nº 255/04, devendo os arts. 3º, 8º e 9º, serem renumerados para 3º, 4º e 5º; e os arts. 146, IV, 150, VI e, 153, § 4º, IV, 158, parágrafo único, I, II, 171-A e parágrafo único, 203, parágrafo único e 216, § 3º, constantes do art. 1º, e os arts., 4º, 5º, 7º, renumerados para 2º, 3º e 4º).","259094-140"
2414364,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2414364","RPD",890,11,0,"Requerimento Procedimental Genérico - PEC 293/2004",259094,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/259094","PEC",136,293,2004,"Altera o Sistema Tributário Nacional e dá outras providências.  (Desmembramento da PEC nº 255/04, devendo os arts. 3º, 8º e 9º, serem renumerados para 3º, 4º e 5º; e os arts. 146, IV, 150, VI e, 153, § 4º, IV, 158, parágrafo único, I, II, 171-A e parágrafo único, 203, parágrafo único e 216, § 3º, constantes do art. 1º, e os arts., 4º, 5º, 7º, renumerados para 2º, 3º e 4º).","259094-140"
2414360,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2414360","DTQ",846,19,0,"Destaque para Votação em Separado - PEC 293/2004 Turno 1",259094,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/259094","PEC",136,293,2004,"Altera o Sistema Tributário Nacional e dá outras providências.  (Desmembramento da PEC nº 255/04, devendo os arts. 3º, 8º e 9º, serem renumerados para 3º, 4º e 5º; e os arts. 146, IV, 150, VI e, 153, § 4º, IV, 158, parágrafo único, I, II, 171-A e parágrafo único, 203, parágrafo único e 216, § 3º, constantes do art. 1º, e os arts., 4º, 5º, 7º, renumerados para 2º, 3º e 4º).","259094-140"
2414361,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2414361","DTQ",846,20,0,"Destaque para Votação em Separado - PEC 293/2004 Turno 1",259094,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/259094","PEC",136,293,2004,"Altera o Sistema Tributário Nacional e dá outras providências.  (Desmembramento da PEC nº 255/04, devendo os arts. 3º, 8º e 9º, serem renumerados para 3º, 4º e 5º; e os arts. 146, IV, 150, VI e, 153, § 4º, IV, 158, parágrafo único, I, II, 171-A e parágrafo único, 203, parágrafo único e 216, § 3º, constantes do art. 1º, e os arts., 4º, 5º, 7º, renumerados para 2º, 3º e 4º).","259094-140"
2414358,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2414358","DTQ",846,18,0,"Destaque para Votação em Separado - PEC 293/2004 Turno 1",259094,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/259094","PEC",136,293,2004,"Altera o Sistema Tributário Nacional e dá outras providências.  (Desmembramento da PEC nº 255/04, devendo os arts. 3º, 8º e 9º, serem renumerados para 3º, 4º e 5º; e os arts. 146, IV, 150, VI e, 153, § 4º, IV, 158, parágrafo único, I, II, 171-A e parágrafo único, 203, parágrafo único e 216, § 3º, constantes do art. 1º, e os arts., 4º, 5º, 7º, renumerados para 2º, 3º e 4º).","259094-140"
2414355,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2414355","DTQ",1012,17,0,"Destaque de Preferência - PEC 45/2019 (Fase 2 - CD) Turno 1",259094,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/259094","PEC",136,293,2004,"Altera o Sistema Tributário Nacional e dá outras providências.  (Desmembramento da PEC nº 255/04, devendo os arts. 3º, 8º e 9º, serem renumerados para 3º, 4º e 5º; e os arts. 146, IV, 150, VI e, 153, § 4º, IV, 158, parágrafo único, I, II, 171-A e parágrafo único, 203, parágrafo único e 216, § 3º, constantes do art. 1º, e os arts., 4º, 5º, 7º, renumerados para 2º, 3º e 4º).","259094-140"
2414354,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2414354","DTQ",846,16,0,"Destaque para Votação em Separado - PEC 293/2004 Turno 1",259094,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/259094","PEC",136,293,2004,"Altera o Sistema Tributário Nacional e dá outras providências.  (Desmembramento da PEC nº 255/04, devendo os arts. 3º, 8º e 9º, serem renumerados para 3º, 4º e 5º; e os arts. 146, IV, 150, VI e, 153, § 4º, IV, 158, parágrafo único, I, II, 171-A e parágrafo único, 203, parágrafo único e 216, § 3º, constantes do art. 1º, e os arts., 4º, 5º, 7º, renumerados para 2º, 3º e 4º).","259094-140"
