"id_objetosPossiveis","uri_objetosPossiveis","siglaTipo_objetosPossiveis","codTipo_objetosPossiveis","numero_objetosPossiveis","ano_objetosPossiveis","ementa_objetosPossiveis","id_proposicoesAfetadas","uri_proposicoesAfetadas","siglaTipo_proposicoesAfetadas","codTipo_proposicoesAfetadas","numero_proposicoesAfetadas","ano_proposicoesAfetadas","ementa_proposicoesAfetadas","id_votacao"
2393003,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2393003","SSP",509,1,0,"",2224999,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2224999","PL",139,5497,2019,"Altera a Medida Provisória nº 2.228- 1, de 6 de setembro de 2001, para prorrogar o prazo de obrigatoriedade de exibição comercial de obras cinematográficas brasileiras até 2031.  NOVA EMENTA: Altera a Medida Provisória nº 2.228-1, de 6 de setembro de 2001, que estabelece princípios gerais da Política Nacional do Cinema, para prorrogar o prazo de obrigatoriedade de exibição comercial de obras cinematográficas brasileiras.","2224999-96"
2392997,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2392997","RPDR",889,29,0,"Requerimento Procedimental Genérico - PL 5497/2019",2224999,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2224999","PL",139,5497,2019,"Altera a Medida Provisória nº 2.228- 1, de 6 de setembro de 2001, para prorrogar o prazo de obrigatoriedade de exibição comercial de obras cinematográficas brasileiras até 2031.  NOVA EMENTA: Altera a Medida Provisória nº 2.228-1, de 6 de setembro de 2001, que estabelece princípios gerais da Política Nacional do Cinema, para prorrogar o prazo de obrigatoriedade de exibição comercial de obras cinematográficas brasileiras.","2224999-96"
2392986,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2392986","SBT",255,1,0,"",2224999,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2224999","PL",139,5497,2019,"Altera a Medida Provisória nº 2.228- 1, de 6 de setembro de 2001, para prorrogar o prazo de obrigatoriedade de exibição comercial de obras cinematográficas brasileiras até 2031.  NOVA EMENTA: Altera a Medida Provisória nº 2.228-1, de 6 de setembro de 2001, que estabelece princípios gerais da Política Nacional do Cinema, para prorrogar o prazo de obrigatoriedade de exibição comercial de obras cinematográficas brasileiras.","2224999-96"
2392976,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2392976","DTQ",1011,7,0,"Destaque de Emenda - PL 5497/2019",2224999,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2224999","PL",139,5497,2019,"Altera a Medida Provisória nº 2.228- 1, de 6 de setembro de 2001, para prorrogar o prazo de obrigatoriedade de exibição comercial de obras cinematográficas brasileiras até 2031.  NOVA EMENTA: Altera a Medida Provisória nº 2.228-1, de 6 de setembro de 2001, que estabelece princípios gerais da Política Nacional do Cinema, para prorrogar o prazo de obrigatoriedade de exibição comercial de obras cinematográficas brasileiras.","2224999-96"
2392977,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2392977","RPD",332,28,0,"Requerimento de Votação Nominal-Destaque de Emenda - PL 5497/2019",2224999,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2224999","PL",139,5497,2019,"Altera a Medida Provisória nº 2.228- 1, de 6 de setembro de 2001, para prorrogar o prazo de obrigatoriedade de exibição comercial de obras cinematográficas brasileiras até 2031.  NOVA EMENTA: Altera a Medida Provisória nº 2.228-1, de 6 de setembro de 2001, que estabelece princípios gerais da Política Nacional do Cinema, para prorrogar o prazo de obrigatoriedade de exibição comercial de obras cinematográficas brasileiras.","2224999-96"
2392975,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2392975","RPD",1000,27,0,"Requerimento de Encerramento da Discussão e do Encaminhamento da Votação - PL 5497/2019",2224999,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2224999","PL",139,5497,2019,"Altera a Medida Provisória nº 2.228- 1, de 6 de setembro de 2001, para prorrogar o prazo de obrigatoriedade de exibição comercial de obras cinematográficas brasileiras até 2031.  NOVA EMENTA: Altera a Medida Provisória nº 2.228-1, de 6 de setembro de 2001, que estabelece princípios gerais da Política Nacional do Cinema, para prorrogar o prazo de obrigatoriedade de exibição comercial de obras cinematográficas brasileiras.","2224999-96"
2392993,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2392993","PRLE",1001,1,0,"Altera a Medida Provisória nº 2.228- 1, de 6 de setembro de 2001, para prorrogar o prazo de obrigatoriedade de exibição comercial de obras cinematográficas brasileiras até 2031.",2224999,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2224999","PL",139,5497,2019,"Altera a Medida Provisória nº 2.228- 1, de 6 de setembro de 2001, para prorrogar o prazo de obrigatoriedade de exibição comercial de obras cinematográficas brasileiras até 2031.  NOVA EMENTA: Altera a Medida Provisória nº 2.228-1, de 6 de setembro de 2001, que estabelece princípios gerais da Política Nacional do Cinema, para prorrogar o prazo de obrigatoriedade de exibição comercial de obras cinematográficas brasileiras.","2224999-96"
2392939,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2392939","RPDR",889,26,0,"Requerimento Procedimental Genérico - PL 5497/2019",2224999,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2224999","PL",139,5497,2019,"Altera a Medida Provisória nº 2.228- 1, de 6 de setembro de 2001, para prorrogar o prazo de obrigatoriedade de exibição comercial de obras cinematográficas brasileiras até 2031.  NOVA EMENTA: Altera a Medida Provisória nº 2.228-1, de 6 de setembro de 2001, que estabelece princípios gerais da Política Nacional do Cinema, para prorrogar o prazo de obrigatoriedade de exibição comercial de obras cinematográficas brasileiras.","2224999-96"
2392920,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2392920","RPDR",889,25,0,"Requerimento Procedimental Genérico - PL 5497/2019",2224999,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2224999","PL",139,5497,2019,"Altera a Medida Provisória nº 2.228- 1, de 6 de setembro de 2001, para prorrogar o prazo de obrigatoriedade de exibição comercial de obras cinematográficas brasileiras até 2031.  NOVA EMENTA: Altera a Medida Provisória nº 2.228-1, de 6 de setembro de 2001, que estabelece princípios gerais da Política Nacional do Cinema, para prorrogar o prazo de obrigatoriedade de exibição comercial de obras cinematográficas brasileiras.","2224999-96"
2392913,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2392913","RPDR",889,24,0,"Requerimento Procedimental Genérico - PL 5497/2019",2224999,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2224999","PL",139,5497,2019,"Altera a Medida Provisória nº 2.228- 1, de 6 de setembro de 2001, para prorrogar o prazo de obrigatoriedade de exibição comercial de obras cinematográficas brasileiras até 2031.  NOVA EMENTA: Altera a Medida Provisória nº 2.228-1, de 6 de setembro de 2001, que estabelece princípios gerais da Política Nacional do Cinema, para prorrogar o prazo de obrigatoriedade de exibição comercial de obras cinematográficas brasileiras.","2224999-96"
