"id_objetosPossiveis","uri_objetosPossiveis","siglaTipo_objetosPossiveis","codTipo_objetosPossiveis","numero_objetosPossiveis","ano_objetosPossiveis","ementa_objetosPossiveis","id_proposicoesAfetadas","uri_proposicoesAfetadas","siglaTipo_proposicoesAfetadas","codTipo_proposicoesAfetadas","numero_proposicoesAfetadas","ano_proposicoesAfetadas","ementa_proposicoesAfetadas","id_votacao"
2406127,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2406127","PRLE",1001,1,0,"Institui Agosto como mês de combate às desigualdades.",2381043,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2381043","PL",139,4035,2023,"Institui Agosto como mês de combate às desigualdades.","2381043-35"
2406120,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2406120","DTQ",846,3,0,"Destaque para Votação em Separado - PL 4035/2023",2381043,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2381043","PL",139,4035,2023,"Institui Agosto como mês de combate às desigualdades.","2381043-35"
2406121,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2406121","DTQ",846,4,0,"Destaque para Votação em Separado - PL 4035/2023",2381043,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2381043","PL",139,4035,2023,"Institui Agosto como mês de combate às desigualdades.","2381043-35"
2406122,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2406122","RPD",332,28,0,"Requerimento de Votação Nominal-Destaque para Votação em Separado - PL 4035/2023",2381043,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2381043","PL",139,4035,2023,"Institui Agosto como mês de combate às desigualdades.","2381043-35"
2406123,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2406123","RPD",332,29,0,"Requerimento de Votação Nominal-Destaque para Votação em Separado - PL 4035/2023",2381043,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2381043","PL",139,4035,2023,"Institui Agosto como mês de combate às desigualdades.","2381043-35"
2406098,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2406098","DTQ",846,1,0,"Destaque para Votação em Separado - PL 4035/2023",2381043,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2381043","PL",139,4035,2023,"Institui Agosto como mês de combate às desigualdades.","2381043-35"
2406099,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2406099","DTQ",1011,2,0,"Destaque de Emenda - PL 4035/2023",2381043,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2381043","PL",139,4035,2023,"Institui Agosto como mês de combate às desigualdades.","2381043-35"
2406100,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2406100","RPD",332,26,0,"Requerimento de Votação Nominal-Destaque para Votação em Separado - PL 4035/2023",2381043,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2381043","PL",139,4035,2023,"Institui Agosto como mês de combate às desigualdades.","2381043-35"
2406101,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2406101","RPD",332,27,0,"Requerimento de Votação Nominal-Destaque de Emenda - PL 4035/2023",2381043,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2381043","PL",139,4035,2023,"Institui Agosto como mês de combate às desigualdades.","2381043-35"
2406062,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2406062","EMP",870,1,0,"Institui Agosto como mês de combate às desigualdades.",2381043,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2381043","PL",139,4035,2023,"Institui Agosto como mês de combate às desigualdades.","2381043-35"
