"id_objetosPossiveis","uri_objetosPossiveis","siglaTipo_objetosPossiveis","codTipo_objetosPossiveis","numero_objetosPossiveis","ano_objetosPossiveis","ementa_objetosPossiveis","id_proposicoesAfetadas","uri_proposicoesAfetadas","siglaTipo_proposicoesAfetadas","codTipo_proposicoesAfetadas","numero_proposicoesAfetadas","ano_proposicoesAfetadas","ementa_proposicoesAfetadas","id_votacao"
2413851,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2413851","RPD",332,10,0,"Requerimento de Votação Nominal-Destaque de Emenda - MPV 1185/2023",2384692,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2384692","MPV",291,1185,2023,"Dispõe sobre o crédito fiscal decorrente de subvenção para a implantação ou a expansão de empreendimento econômico.  NOVA EMENTA: Dispõe sobre o crédito fiscal decorrente de subvenção para 	implantação ou expansão de empreendimento econômico; altera as Leis nºs 9.249, de 26 de dezembro de 1995, 14.592, de 30 de maio de 2023, e 14.754, de 12 de dezembro de 2023; e revoga dispositivos do Decreto-Lei nº 1.598, de 26 de dezembro de 1977, e das Leis nºs 10.637, de 30 de dezembro de 2002, 10.833, de 29 de dezembro de 2003, e 12.973, de 13 de maio de 2014.","2384692-49"
2413852,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2413852","RPD",332,11,0,"Requerimento de Votação Nominal-Destaque de Emenda - MPV 1185/2023",2384692,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2384692","MPV",291,1185,2023,"Dispõe sobre o crédito fiscal decorrente de subvenção para a implantação ou a expansão de empreendimento econômico.  NOVA EMENTA: Dispõe sobre o crédito fiscal decorrente de subvenção para 	implantação ou expansão de empreendimento econômico; altera as Leis nºs 9.249, de 26 de dezembro de 1995, 14.592, de 30 de maio de 2023, e 14.754, de 12 de dezembro de 2023; e revoga dispositivos do Decreto-Lei nº 1.598, de 26 de dezembro de 1977, e das Leis nºs 10.637, de 30 de dezembro de 2002, 10.833, de 29 de dezembro de 2003, e 12.973, de 13 de maio de 2014.","2384692-49"
2413853,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2413853","RPD",332,12,0,"Requerimento de Votação Nominal-Destaque de Emenda - MPV 1185/2023",2384692,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2384692","MPV",291,1185,2023,"Dispõe sobre o crédito fiscal decorrente de subvenção para a implantação ou a expansão de empreendimento econômico.  NOVA EMENTA: Dispõe sobre o crédito fiscal decorrente de subvenção para 	implantação ou expansão de empreendimento econômico; altera as Leis nºs 9.249, de 26 de dezembro de 1995, 14.592, de 30 de maio de 2023, e 14.754, de 12 de dezembro de 2023; e revoga dispositivos do Decreto-Lei nº 1.598, de 26 de dezembro de 1977, e das Leis nºs 10.637, de 30 de dezembro de 2002, 10.833, de 29 de dezembro de 2003, e 12.973, de 13 de maio de 2014.","2384692-49"
2413854,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2413854","RPD",332,13,0,"Requerimento de Votação Nominal-Destaque para Votação em Separado - MPV 1185/2023",2384692,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2384692","MPV",291,1185,2023,"Dispõe sobre o crédito fiscal decorrente de subvenção para a implantação ou a expansão de empreendimento econômico.  NOVA EMENTA: Dispõe sobre o crédito fiscal decorrente de subvenção para 	implantação ou expansão de empreendimento econômico; altera as Leis nºs 9.249, de 26 de dezembro de 1995, 14.592, de 30 de maio de 2023, e 14.754, de 12 de dezembro de 2023; e revoga dispositivos do Decreto-Lei nº 1.598, de 26 de dezembro de 1977, e das Leis nºs 10.637, de 30 de dezembro de 2002, 10.833, de 29 de dezembro de 2003, e 12.973, de 13 de maio de 2014.","2384692-49"
2413849,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2413849","RPD",332,8,0,"Requerimento de Votação Nominal-Requerimento de Adiamento da Votação Matéria Urgente - MPV 1185/2023",2384692,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2384692","MPV",291,1185,2023,"Dispõe sobre o crédito fiscal decorrente de subvenção para a implantação ou a expansão de empreendimento econômico.  NOVA EMENTA: Dispõe sobre o crédito fiscal decorrente de subvenção para 	implantação ou expansão de empreendimento econômico; altera as Leis nºs 9.249, de 26 de dezembro de 1995, 14.592, de 30 de maio de 2023, e 14.754, de 12 de dezembro de 2023; e revoga dispositivos do Decreto-Lei nº 1.598, de 26 de dezembro de 1977, e das Leis nºs 10.637, de 30 de dezembro de 2002, 10.833, de 29 de dezembro de 2003, e 12.973, de 13 de maio de 2014.","2384692-49"
2413850,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2413850","RPD",332,9,0,"Requerimento de Votação Nominal-Requerimento de Adiamento da Discussão Matéria Urgente - MPV 1185/2023",2384692,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2384692","MPV",291,1185,2023,"Dispõe sobre o crédito fiscal decorrente de subvenção para a implantação ou a expansão de empreendimento econômico.  NOVA EMENTA: Dispõe sobre o crédito fiscal decorrente de subvenção para 	implantação ou expansão de empreendimento econômico; altera as Leis nºs 9.249, de 26 de dezembro de 1995, 14.592, de 30 de maio de 2023, e 14.754, de 12 de dezembro de 2023; e revoga dispositivos do Decreto-Lei nº 1.598, de 26 de dezembro de 1977, e das Leis nºs 10.637, de 30 de dezembro de 2002, 10.833, de 29 de dezembro de 2003, e 12.973, de 13 de maio de 2014.","2384692-49"
2413839,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2413839","RPD",892,3,0,"Requerimento de Adiamento da Discussão Matéria Urgente - MPV 1185/2023",2384692,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2384692","MPV",291,1185,2023,"Dispõe sobre o crédito fiscal decorrente de subvenção para a implantação ou a expansão de empreendimento econômico.  NOVA EMENTA: Dispõe sobre o crédito fiscal decorrente de subvenção para 	implantação ou expansão de empreendimento econômico; altera as Leis nºs 9.249, de 26 de dezembro de 1995, 14.592, de 30 de maio de 2023, e 14.754, de 12 de dezembro de 2023; e revoga dispositivos do Decreto-Lei nº 1.598, de 26 de dezembro de 1977, e das Leis nºs 10.637, de 30 de dezembro de 2002, 10.833, de 29 de dezembro de 2003, e 12.973, de 13 de maio de 2014.","2384692-49"
2413840,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2413840","RPD",467,4,0,"Requerimento de Adiamento da Votação Matéria Urgente - MPV 1185/2023",2384692,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2384692","MPV",291,1185,2023,"Dispõe sobre o crédito fiscal decorrente de subvenção para a implantação ou a expansão de empreendimento econômico.  NOVA EMENTA: Dispõe sobre o crédito fiscal decorrente de subvenção para 	implantação ou expansão de empreendimento econômico; altera as Leis nºs 9.249, de 26 de dezembro de 1995, 14.592, de 30 de maio de 2023, e 14.754, de 12 de dezembro de 2023; e revoga dispositivos do Decreto-Lei nº 1.598, de 26 de dezembro de 1977, e das Leis nºs 10.637, de 30 de dezembro de 2002, 10.833, de 29 de dezembro de 2003, e 12.973, de 13 de maio de 2014.","2384692-49"
2413841,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2413841","RPD",328,5,0,"Requerimento de Retirada de Matéria da Pauta - MPV 1185/2023",2384692,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2384692","MPV",291,1185,2023,"Dispõe sobre o crédito fiscal decorrente de subvenção para a implantação ou a expansão de empreendimento econômico.  NOVA EMENTA: Dispõe sobre o crédito fiscal decorrente de subvenção para 	implantação ou expansão de empreendimento econômico; altera as Leis nºs 9.249, de 26 de dezembro de 1995, 14.592, de 30 de maio de 2023, e 14.754, de 12 de dezembro de 2023; e revoga dispositivos do Decreto-Lei nº 1.598, de 26 de dezembro de 1977, e das Leis nºs 10.637, de 30 de dezembro de 2002, 10.833, de 29 de dezembro de 2003, e 12.973, de 13 de maio de 2014.","2384692-49"
2413842,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2413842","RPD",332,6,0,"Requerimento de Votação Nominal - MPV 1185/2023",2384692,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2384692","MPV",291,1185,2023,"Dispõe sobre o crédito fiscal decorrente de subvenção para a implantação ou a expansão de empreendimento econômico.  NOVA EMENTA: Dispõe sobre o crédito fiscal decorrente de subvenção para 	implantação ou expansão de empreendimento econômico; altera as Leis nºs 9.249, de 26 de dezembro de 1995, 14.592, de 30 de maio de 2023, e 14.754, de 12 de dezembro de 2023; e revoga dispositivos do Decreto-Lei nº 1.598, de 26 de dezembro de 1977, e das Leis nºs 10.637, de 30 de dezembro de 2002, 10.833, de 29 de dezembro de 2003, e 12.973, de 13 de maio de 2014.","2384692-49"
2413843,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2413843","RPD",332,7,0,"Requerimento de Votação Nominal-Requerimento de Retirada de Matéria da Pauta - MPV 1185/2023",2384692,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2384692","MPV",291,1185,2023,"Dispõe sobre o crédito fiscal decorrente de subvenção para a implantação ou a expansão de empreendimento econômico.  NOVA EMENTA: Dispõe sobre o crédito fiscal decorrente de subvenção para 	implantação ou expansão de empreendimento econômico; altera as Leis nºs 9.249, de 26 de dezembro de 1995, 14.592, de 30 de maio de 2023, e 14.754, de 12 de dezembro de 2023; e revoga dispositivos do Decreto-Lei nº 1.598, de 26 de dezembro de 1977, e das Leis nºs 10.637, de 30 de dezembro de 2002, 10.833, de 29 de dezembro de 2003, e 12.973, de 13 de maio de 2014.","2384692-49"
2413836,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2413836","RPD",328,1,0,"Requerimento de Retirada de Matéria da Pauta - MPV 1185/2023",2384692,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2384692","MPV",291,1185,2023,"Dispõe sobre o crédito fiscal decorrente de subvenção para a implantação ou a expansão de empreendimento econômico.  NOVA EMENTA: Dispõe sobre o crédito fiscal decorrente de subvenção para 	implantação ou expansão de empreendimento econômico; altera as Leis nºs 9.249, de 26 de dezembro de 1995, 14.592, de 30 de maio de 2023, e 14.754, de 12 de dezembro de 2023; e revoga dispositivos do Decreto-Lei nº 1.598, de 26 de dezembro de 1977, e das Leis nºs 10.637, de 30 de dezembro de 2002, 10.833, de 29 de dezembro de 2003, e 12.973, de 13 de maio de 2014.","2384692-49"
2413837,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2413837","RPD",332,2,0,"Requerimento de Votação Nominal-Requerimento de Retirada de Matéria da Pauta - MPV 1185/2023",2384692,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2384692","MPV",291,1185,2023,"Dispõe sobre o crédito fiscal decorrente de subvenção para a implantação ou a expansão de empreendimento econômico.  NOVA EMENTA: Dispõe sobre o crédito fiscal decorrente de subvenção para 	implantação ou expansão de empreendimento econômico; altera as Leis nºs 9.249, de 26 de dezembro de 1995, 14.592, de 30 de maio de 2023, e 14.754, de 12 de dezembro de 2023; e revoga dispositivos do Decreto-Lei nº 1.598, de 26 de dezembro de 1977, e das Leis nºs 10.637, de 30 de dezembro de 2002, 10.833, de 29 de dezembro de 2003, e 12.973, de 13 de maio de 2014.","2384692-49"
2415649,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2415649","RDF",197,1,0,"Dispõe sobre o crédito fiscal decorrente de subvenção para implantação ou expansão de empreendimento econômico; altera as Leis nºs 9.249, de 26 de dezembro de 1995, 14.592, de 30 de maio de 2023, e 14.754, de 12 de dezembro de 2023; e revoga dispositivos do Decreto-Lei nº 1.598, de 26 de dezembro de 1977, e das Leis nºs 10.637, de 30 de dezembro de 2002, 10.833, de 29 de dezembro de 2003, e 12.973, de 13 de maio de 2014.",2384692,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2384692","MPV",291,1185,2023,"Dispõe sobre o crédito fiscal decorrente de subvenção para a implantação ou a expansão de empreendimento econômico.  NOVA EMENTA: Dispõe sobre o crédito fiscal decorrente de subvenção para 	implantação ou expansão de empreendimento econômico; altera as Leis nºs 9.249, de 26 de dezembro de 1995, 14.592, de 30 de maio de 2023, e 14.754, de 12 de dezembro de 2023; e revoga dispositivos do Decreto-Lei nº 1.598, de 26 de dezembro de 1977, e das Leis nºs 10.637, de 30 de dezembro de 2002, 10.833, de 29 de dezembro de 2003, e 12.973, de 13 de maio de 2014.","2384692-49"
2413646,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2413646","PAR",187,1,0,"PARECER nº 1, de 2023-CN, da Comissão Mista da MPV 1185/2023, sobre a Medida Provisória nº 1185, de 2023, que “Dispõe sobre o crédito fiscal decorrente de subvenção para a implantação ou a expansão de empreendimento econômico”.",2384692,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2384692","MPV",291,1185,2023,"Dispõe sobre o crédito fiscal decorrente de subvenção para a implantação ou a expansão de empreendimento econômico.  NOVA EMENTA: Dispõe sobre o crédito fiscal decorrente de subvenção para 	implantação ou expansão de empreendimento econômico; altera as Leis nºs 9.249, de 26 de dezembro de 1995, 14.592, de 30 de maio de 2023, e 14.754, de 12 de dezembro de 2023; e revoga dispositivos do Decreto-Lei nº 1.598, de 26 de dezembro de 1977, e das Leis nºs 10.637, de 30 de dezembro de 2002, 10.833, de 29 de dezembro de 2003, e 12.973, de 13 de maio de 2014.","2384692-49"
2413640,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2413640","MSC",134,429,2023,"Submete à deliberação de Congresso Nacional o texto da Medida Provisória n° 1.185, de 30 de agosto de 2023, que ""Dispõe sobre o crédito fiscal decorrente de subvenção para a implantação ou a expansão de empreendimento econômico."".",2384692,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2384692","MPV",291,1185,2023,"Dispõe sobre o crédito fiscal decorrente de subvenção para a implantação ou a expansão de empreendimento econômico.  NOVA EMENTA: Dispõe sobre o crédito fiscal decorrente de subvenção para 	implantação ou expansão de empreendimento econômico; altera as Leis nºs 9.249, de 26 de dezembro de 1995, 14.592, de 30 de maio de 2023, e 14.754, de 12 de dezembro de 2023; e revoga dispositivos do Decreto-Lei nº 1.598, de 26 de dezembro de 1977, e das Leis nºs 10.637, de 30 de dezembro de 2002, 10.833, de 29 de dezembro de 2003, e 12.973, de 13 de maio de 2014.","2384692-49"
