"id_proposicoesAfetadas","uri_proposicoesAfetadas","siglaTipo_proposicoesAfetadas","codTipo_proposicoesAfetadas","numero_proposicoesAfetadas","ano_proposicoesAfetadas","ementa_proposicoesAfetadas","id_votacao"
2395230,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2395230","PL",139,4932,2023,"Estabelece requisitos para a autorização do funcionamento de prestadores de serviços de ativos virtuais, obriga a transferência de recursos entre usuários e prestadores de serviços de ativos virtuais por meio de contas de depósito ou de pagamento individualizadas, dispõe sobre a segregação patrimonial entre prestadores de serviços de ativos virtuais e seus usuários, e proíbe a oferta ou a negociação de derivativos por prestadores de serviços de ativos virtuais sem a autorização da Comissão de Valores Mobiliários.","2403068-11"
2403068,"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2403068","REQ",392,3912,2023,"Requer urgência do art. 155 para apreciação imediata do PL 4.932, de 2023.","2403068-11"
